origin,model,model_version,params_hash,mae,rmse,smape,first_seen
2026-04-17 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1375.87,1676.56,2.929,2026-09-08 08:38:45+00:00
2026-04-18 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2662.76,3148.46,5.856,2026-09-08 08:38:45+00:00
2026-04-19 21:00:00+00:00,HistGradientBoosting,v1,d3598930,579.23,679.04,1.015,2026-09-08 08:38:45+00:00
2026-04-20 21:00:00+00:00,HistGradientBoosting,v1,d3598930,807.8,937.7,1.53,2026-09-08 08:38:45+00:00
2026-04-21 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1837.2,2381.2,3.33,2026-09-08 08:38:45+00:00
2026-04-22 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1579.2,1749.12,2.87,2026-09-08 08:38:45+00:00
2026-04-23 21:00:00+00:00,HistGradientBoosting,v1,d3598930,910.95,1072.46,1.69,2026-09-08 08:38:45+00:00
2026-04-24 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2366.51,3156.49,5.008,2026-09-08 08:38:45+00:00
2026-04-25 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2259.61,2739.69,5.205,2026-09-08 08:38:45+00:00
2026-04-26 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2203.4,2603.28,4.045,2026-09-08 08:38:45+00:00
2026-04-27 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1211.76,1380.55,2.276,2026-09-08 08:38:45+00:00
2026-04-28 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1091.0,1308.05,2.042,2026-09-08 08:38:45+00:00
2026-04-29 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1601.96,1820.83,2.978,2026-09-08 08:38:45+00:00
2026-04-30 21:00:00+00:00,HistGradientBoosting,v1,d3598930,5634.25,6322.1,12.632,2026-09-08 08:38:45+00:00
2026-05-01 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1131.31,1462.18,2.616,2026-09-08 08:38:45+00:00
2026-05-02 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1683.35,2061.53,4.147,2026-09-08 08:38:45+00:00
